iter	Passed	Remaining
0	12	12164
1	23	11753
2	36	12217
3	49	12246
4	60	11960
5	72	12052
6	84	12023
7	96	11957
8	108	11895
9	121	11981
10	132	11943
11	145	11984
12	180	13690
13	200	14112
14	216	14243
15	231	14214
16	251	14569
17	264	14412
18	276	14252
19	288	14147
20	302	14109
21	316	14061
22	330	14026
23	341	13906
24	355	13847
25	366	13722
26	378	13632
27	391	13575
28	403	13509
29	416	13469
30	427	13375
31	440	13329
32	453	13281
33	465	13238
34	480	13241
35	494	13230
36	505	13168
37	519	13148
38	532	13122
39	547	13133
40	560	13117
41	573	13070
42	587	13071
43	601	13075
44	614	13051
45	628	13036
46	642	13025
47	656	13020
48	669	12997
49	684	13009
50	698	13003
51	712	12991
52	724	12947
53	738	12935
54	751	12904
55	763	12868
56	777	12863
57	791	12850
58	803	12819
59	816	12788
60	830	12779
61	842	12753
62	855	12725
63	867	12683
64	879	12657
65	891	12618
66	904	12598
67	917	12569
68	930	12561
69	942	12524
70	954	12490
71	966	12457
72	978	12422
73	989	12383
74	1005	12405
75	1023	12438
76	1034	12399
77	1050	12415
78	1063	12398
79	1077	12390
80	1090	12367
81	1104	12359
82	1119	12367
83	1134	12369
84	1148	12361
85	1162	12355
86	1175	12333
87	1188	12321
88	1201	12294
89	1212	12255
90	1223	12218
91	1235	12195
92	1248	12175
93	1260	12148
94	1271	12114
95	1284	12092
96	1296	12065
97	1307	12032
98	1318	11996
99	1330	11972
100	1342	11948
101	1355	11931
102	1366	11901
103	1379	11884
104	1390	11853
105	1402	11828
106	1414	11808
107	1425	11777
108	1437	11746
109	1447	11713
110	1458	11683
111	1471	11667
112	1482	11636
113	1493	11606
114	1504	11575
115	1515	11550
116	1526	11521
117	1537	11494
118	1549	11468
119	1560	11441
120	1571	11414
121	1581	11384
122	1594	11368
123	1607	11355
124	1619	11338
125	1636	11349
126	1653	11363
127	1665	11348
128	1679	11337
129	1695	11344
130	1707	11325
131	1721	11321
132	1735	11312
133	1749	11305
134	1761	11287
135	1774	11272
136	1786	11251
137	1798	11233
138	1811	11218
139	1823	11198
140	1836	11188
141	1849	11177
142	1863	11167
143	1880	11179
144	1897	11191
145	1910	11174
146	1923	11164
147	1937	11156
148	1952	11149
149	1966	11144
150	1979	11131
151	1994	11127
152	2008	11119
153	2023	11115
154	2040	11121
155	2055	11118
156	2068	11106
157	2080	11089
158	2094	11080
159	2108	11069
160	2122	11062
161	2137	11055
162	2151	11045
163	2165	11038
164	2179	11029
165	2193	11020
166	2208	11013
167	2221	11003
168	2236	10999
169	2246	10966
170	2263	10971
171	2276	10960
172	2291	10955
173	2308	10958
174	2325	10963
175	2342	10968
176	2357	10959
177	2372	10956
178	2386	10943
179	2399	10931
180	2413	10922
181	2428	10915
182	2445	10916
183	2459	10905
184	2473	10896
185	2486	10880
186	2500	10869
187	2514	10860
188	2526	10842
189	2541	10836
190	2554	10820
191	2566	10802
192	2583	10801
193	2598	10794
194	2611	10780
195	2630	10790
196	2644	10780
197	2660	10777
198	2677	10777
199	2690	10761
200	2704	10749
201	2717	10737
202	2729	10718
203	2743	10704
204	2758	10697
205	2773	10690
206	2788	10680
207	2803	10676
208	2817	10663
209	2830	10647
210	2843	10633
211	2856	10617
212	2868	10597
213	2881	10582
214	2893	10566
215	2905	10547
216	2918	10529
217	2929	10507
218	2943	10496
219	2955	10477
220	2967	10458
221	2979	10440
222	2993	10429
223	3005	10412
224	3018	10396
225	3032	10384
226	3046	10375
227	3059	10359
228	3072	10344
229	3086	10334
230	3100	10321
231	3114	10309
232	3127	10293
233	3140	10279
234	3152	10261
235	3165	10246
236	3178	10233
237	3191	10217
238	3202	10198
239	3214	10178
240	3225	10158
241	3238	10143
242	3250	10126
243	3261	10105
244	3273	10087
245	3285	10069
246	3296	10049
247	3308	10032
248	3321	10018
249	3334	10004
250	3348	9992
251	3360	9975
252	3376	9968
253	3392	9963
254	3406	9953
255	3420	9941
256	3434	9928
257	3446	9913
258	3458	9895
259	3472	9882
260	3485	9868
261	3497	9851
262	3509	9834
263	3521	9817
264	3533	9799
265	3545	9783
266	3557	9767
267	3569	9749
268	3581	9733
269	3594	9718
270	3606	9701
271	3619	9686
272	3632	9673
273	3644	9657
274	3656	9640
275	3668	9623
276	3693	9641
277	3711	9638
278	3729	9638
279	3749	9641
280	3762	9626
281	3773	9607
282	3785	9589
283	3796	9571
284	3808	9554
285	3820	9538
286	3831	9519
287	3843	9502
288	3857	9489
289	3868	9470
290	3879	9452
291	3891	9435
292	3902	9416
293	3914	9400
294	3926	9382
295	3937	9365
296	3948	9346
297	3961	9331
298	3972	9314
299	3985	9298
300	3996	9282
301	4008	9263
302	4019	9247
303	4031	9230
304	4042	9212
305	4059	9206
306	4070	9187
307	4081	9169
308	4093	9153
309	4104	9136
310	4115	9118
311	4126	9099
312	4137	9082
313	4148	9063
314	4159	9045
315	4170	9027
316	4181	9009
317	4192	8991
318	4202	8972
319	4213	8953
320	4224	8936
321	4237	8922
322	4248	8904
323	4260	8889
324	4271	8871
325	4282	8854
326	4294	8837
327	4310	8832
328	4332	8835
329	4346	8825
330	4362	8817
331	4376	8806
332	4392	8797
333	4411	8796
334	4430	8794
335	4446	8786
336	4461	8778
337	4474	8763
338	4487	8749
339	4499	8734
340	4516	8727
341	4529	8713
342	4540	8697
343	4551	8680
344	4565	8667
345	4576	8650
346	4587	8633
347	4599	8617
348	4614	8608
349	4626	8591
350	4638	8577
351	4649	8559
352	4665	8551
353	4676	8534
354	4687	8516
355	4699	8500
356	4713	8489
357	4727	8477
358	4739	8462
359	4751	8446
360	4763	8431
361	4774	8414
362	4786	8399
363	4798	8384
364	4811	8370
365	4823	8355
366	4835	8340
367	4847	8325
368	4860	8312
369	4873	8297
370	4884	8282
371	4896	8266
372	4909	8252
373	4921	8238
374	4934	8224
375	4948	8212
376	4962	8201
377	4985	8203
378	5003	8198
379	5021	8192
380	5036	8183
381	5054	8177
382	5070	8168
383	5086	8160
384	5101	8149
385	5115	8137
386	5129	8125
387	5143	8112
388	5164	8112
389	5177	8098
390	5190	8085
391	5204	8072
392	5216	8056
393	5228	8041
394	5239	8025
395	5251	8009
396	5263	7994
397	5276	7980
398	5289	7967
399	5302	7953
400	5314	7938
401	5328	7926
402	5340	7911
403	5354	7898
404	5366	7883
405	5379	7870
406	5392	7856
407	5409	7848
408	5423	7837
409	5436	7823
410	5448	7808
411	5461	7793
412	5472	7778
413	5484	7763
414	5502	7756
415	5514	7741
416	5527	7727
417	5540	7714
418	5552	7699
